,id,week,match_header,home_team,home_wins,home_losses,home_ties,home_pts,home_pts_output,home_blk,home_blk_output,home_3pm,home_3pm_output,home_stl,home_stl_output,home_ast,home_ast_output,home_reb,home_reb_output,home_to,home_to_output,away_team,away_wins,away_losses,away_ties,away_pts,away_pts_output,away_blk,away_blk_output,away_3pm,away_3pm_output,away_stl,away_stl_output,away_ast,away_ast_output,away_reb,away_reb_output,away_to,away_to_output,match_output
39,5afa3f6ce2e84beefc3b2707a89598fb30bf180e96eef0d173b98c2def60bad3,8,Box Score(Team(Botafogo Trentini) at Team(FlaLakers)),Team(FlaLakers),2,5,0,392.0,LOSS,31.0,WIN,36.0,LOSS,25.0,LOSS,104.0,LOSS,199.0,LOSS,50.0,WIN,Team(Botafogo Trentini),5,2,0,454.0,WIN,20.0,LOSS,39.0,WIN,34.0,WIN,115.0,WIN,200.0,WIN,72.0,LOSS,AWAY
40,d519adf1f9caee49ce02efc3b718f999b8ee0e3ceb90959c6cd85dcd5073d7f4,9,Box Score(Team(Dallas Sem Mavericks) at Team(Red Devils)),Team(Red Devils),2,5,0,497.0,LOSS,23.0,WIN,62.0,LOSS,24.0,LOSS,102.0,LOSS,158.0,LOSS,58.0,WIN,Team(Dallas Sem Mavericks),5,2,0,582.0,WIN,20.0,LOSS,76.0,WIN,32.0,WIN,148.0,WIN,194.0,WIN,78.0,LOSS,AWAY
41,942b329914569ab9a3bbd2270535d9873965fca08295fe4cf04ede3c320d078a,9,Box Score(Team(Pestana's) at Team(Porto Alegre Sacis)),Team(Porto Alegre Sacis),3,4,0,367.0,LOSS,26.0,WIN,49.0,WIN,36.0,LOSS,67.0,LOSS,142.0,LOSS,50.0,WIN,Team(Pestana's),4,3,0,470.0,WIN,15.0,LOSS,43.0,LOSS,37.0,WIN,94.0,WIN,162.0,WIN,54.0,LOSS,AWAY
42,b255553728a5bceecf1f9276896665db0af234edfd0701926937937ad5640052,9,Box Score(Team(FlaLakers) at Team(Miami Raters)),Team(Miami Raters),4,3,0,627.0,WIN,22.0,LOSS,79.0,WIN,40.0,LOSS,135.0,WIN,211.0,LOSS,78.0,WIN,Team(FlaLakers),3,4,0,521.0,LOSS,29.0,WIN,47.0,LOSS,50.0,WIN,134.0,LOSS,216.0,WIN,87.0,LOSS,HOME
43,26c32ea05f9ae54753f6bea6340dd5586a5fea1e44c7991dd6b2b5b1d2a4ef0a,9,Box Score(Team(Botafogo Trentini) at Team(Jamallers)),Team(Jamallers),1,6,0,304.0,LOSS,4.0,LOSS,21.0,LOSS,24.0,LOSS,113.0,LOSS,95.0,LOSS,57.0,WIN,Team(Botafogo Trentini),6,1,0,536.0,WIN,22.0,WIN,46.0,WIN,42.0,WIN,166.0,WIN,252.0,WIN,78.0,LOSS,AWAY
44,0965feec24fc0241394fe787f8ad4d225b821c72a129b51bebfcbecb6678b8d4,9,Box Score(Team(Team Squirtle) at Team(Spartans)),Team(Spartans),3,4,0,258.0,LOSS,13.0,WIN,27.0,LOSS,25.0,WIN,64.0,LOSS,83.0,WIN,39.0,LOSS,Team(Team Squirtle),4,3,0,293.0,WIN,11.0,LOSS,38.0,WIN,17.0,LOSS,67.0,WIN,71.0,LOSS,32.0,WIN,AWAY
45,14e7a13d04be01f3742b1be4ff0a07daef0526a294e2fe3a9c67bbc9c74ad352,10,Box Score(Team(Miami Raters) at Team(Porto Alegre Sacis)),Team(Porto Alegre Sacis),2,5,0,770.0,LOSS,45.0,WIN,93.0,LOSS,36.0,LOSS,166.0,LOSS,256.0,WIN,97.0,LOSS,Team(Miami Raters),5,2,0,817.0,WIN,26.0,LOSS,95.0,WIN,54.0,WIN,178.0,WIN,230.0,LOSS,87.0,WIN,AWAY
46,cd2fb823519db02a94ecb20fdc87b314760c2b4177f93111410f7a9053fa3ee7,10,Box Score(Team(Red Devils) at Team(Jamallers)),Team(Jamallers),1,6,0,571.0,LOSS,6.0,LOSS,54.0,LOSS,34.0,LOSS,130.0,LOSS,171.0,LOSS,54.0,WIN,Team(Red Devils),6,1,0,828.0,WIN,37.0,WIN,91.0,WIN,40.0,WIN,160.0,WIN,254.0,WIN,83.0,LOSS,AWAY
47,6a819a8d4e42cd1fa10bb996de74fa08e5f950bc6f1f22df64a975e676fa5d70,10,Box Score(Team(Spartans) at Team(Dallas Sem Mavericks)),Team(Dallas Sem Mavericks),4,2,1,601.0,WIN,22.0,LOSS,65.0,TIE,34.0,WIN,177.0,WIN,214.0,WIN,62.0,LOSS,Team(Spartans),2,4,1,510.0,LOSS,23.0,WIN,65.0,TIE,30.0,LOSS,142.0,LOSS,147.0,LOSS,61.0,WIN,HOME
48,a2965790e02fe88062aa7024d44bab5729b8010cab7c364360b2c4ba2ed4dc9b,10,Box Score(Team(Pestana's) at Team(Botafogo Trentini)),Team(Botafogo Trentini),6,1,0,688.0,WIN,26.0,WIN,69.0,WIN,33.0,WIN,213.0,WIN,266.0,WIN,112.0,LOSS,Team(Pestana's),1,6,0,602.0,LOSS,21.0,LOSS,58.0,LOSS,30.0,LOSS,139.0,LOSS,223.0,LOSS,86.0,WIN,HOME
49,74cda369056f78bfbe5251a52a766c2339959ce341ca0e4111886ce7246fbf73,10,Box Score(Team(Team Squirtle) at Team(FlaLakers)),Team(FlaLakers),5,2,0,607.0,WIN,32.0,WIN,45.0,LOSS,45.0,WIN,139.0,WIN,291.0,WIN,73.0,LOSS,Team(Team Squirtle),2,5,0,391.0,LOSS,12.0,LOSS,60.0,WIN,23.0,LOSS,75.0,LOSS,104.0,LOSS,52.0,WIN,HOME
50,45d9bc44c62a9076df3c4bb56154f7f824f98cd1e37804adf9ebb2133da065a0,11,Box Score(Team(Spartans) at Team(Jamallers)),Team(Jamallers),1,6,0,355.0,LOSS,7.0,LOSS,31.0,LOSS,22.0,LOSS,97.0,LOSS,151.0,LOSS,49.0,WIN,Team(Spartans),6,1,0,504.0,WIN,19.0,WIN,59.0,WIN,38.0,WIN,143.0,WIN,163.0,WIN,80.0,LOSS,AWAY
51,93daf51614a5cc23a7a73af34d6b0cca03fc8d5f8cb380090705f7ba2869351d,11,Box Score(Team(Botafogo Trentini) at Team(Porto Alegre Sacis)),Team(Porto Alegre Sacis),2,5,0,670.0,LOSS,29.0,LOSS,88.0,LOSS,57.0,WIN,121.0,LOSS,253.0,LOSS,87.0,WIN,Team(Botafogo Trentini),5,2,0,931.0,WIN,41.0,WIN,108.0,WIN,44.0,LOSS,294.0,WIN,374.0,WIN,121.0,LOSS,AWAY
52,ed4aa1fbd67b602a5e5f6bc593752992354ae67fa81c00134adaa1210d995aeb,11,Box Score(Team(Miami Raters) at Team(Team Squirtle)),Team(Team Squirtle),1,6,0,453.0,LOSS,10.0,LOSS,50.0,LOSS,32.0,LOSS,106.0,LOSS,142.0,LOSS,57.0,WIN,Team(Miami Raters),6,1,0,572.0,WIN,12.0,WIN,74.0,WIN,37.0,WIN,131.0,WIN,203.0,WIN,70.0,LOSS,AWAY
53,80d8a9f673fe8e338070e2f16e2042804882375c98839c6d186461e97ed209dd,11,Box Score(Team(Pestana's) at Team(Red Devils)),Team(Red Devils),5,2,0,931.0,WIN,21.0,WIN,87.0,WIN,42.0,LOSS,175.0,WIN,334.0,WIN,97.0,LOSS,Team(Pestana's),2,5,0,693.0,LOSS,17.0,LOSS,75.0,LOSS,45.0,WIN,153.0,LOSS,194.0,LOSS,96.0,WIN,HOME
54,9bdc0a726efcccecaa8f559a0a758aa71553e6a74c45fbd5e4c090a8b6e5ff37,11,Box Score(Team(Dallas Sem Mavericks) at Team(FlaLakers)),Team(FlaLakers),3,4,0,775.0,WIN,39.0,WIN,70.0,LOSS,50.0,WIN,143.0,LOSS,295.0,LOSS,101.0,LOSS,Team(Dallas Sem Mavericks),4,3,0,768.0,LOSS,35.0,LOSS,73.0,WIN,49.0,LOSS,190.0,WIN,309.0,WIN,76.0,WIN,AWAY
55,0256c8ae784e94e1069caaef99d21acbfc61e563ab1bbb2bacfa1eeb1b7130d2,12,Box Score(Team(Team Squirtle) at Team(Botafogo Trentini)),Team(Botafogo Trentini),6,1,0,749.0,WIN,23.0,WIN,67.0,WIN,60.0,WIN,217.0,WIN,355.0,WIN,109.0,LOSS,Team(Team Squirtle),1,6,0,395.0,LOSS,13.0,LOSS,66.0,LOSS,31.0,LOSS,96.0,LOSS,137.0,LOSS,45.0,WIN,HOME
56,25489212c7915ade62576d16765bff0d47430ce9b561e754efb077b9dc7abaf6,12,Box Score(Team(Jamallers) at Team(Pestana's)),Team(Pestana's),6,1,0,705.0,WIN,32.0,WIN,58.0,WIN,31.0,WIN,174.0,WIN,223.0,WIN,78.0,LOSS,Team(Jamallers),1,6,0,346.0,LOSS,9.0,LOSS,27.0,LOSS,30.0,LOSS,125.0,LOSS,143.0,LOSS,46.0,WIN,HOME
57,55c9b274b9098bdc517a3cc25ae1aafdc550e42d81a78b09e5a6841884fcb692,12,Box Score(Team(FlaLakers) at Team(Spartans)),Team(Spartans),3,4,0,422.0,LOSS,15.0,LOSS,41.0,LOSS,36.0,WIN,109.0,WIN,151.0,LOSS,61.0,WIN,Team(FlaLakers),4,3,0,470.0,WIN,27.0,WIN,48.0,WIN,32.0,LOSS,96.0,LOSS,205.0,WIN,65.0,LOSS,AWAY
58,16f51c627e5d00babb2c880c292172929b42683e2bb512e4cf9819387fe11399,12,Box Score(Team(Porto Alegre Sacis) at Team(Red Devils)),Team(Red Devils),3,4,0,799.0,WIN,32.0,LOSS,77.0,LOSS,34.0,LOSS,184.0,WIN,238.0,LOSS,68.0,WIN,Team(Porto Alegre Sacis),4,3,0,714.0,LOSS,38.0,WIN,90.0,WIN,51.0,WIN,144.0,LOSS,247.0,WIN,77.0,LOSS,AWAY
59,4b7bcf42c90e0b3ce37039788fd3b5533192608a4f6b924c0e4112f8a41411d1,12,Box Score(Team(Dallas Sem Mavericks) at Team(Miami Raters)),Team(Miami Raters),2,5,0,732.0,LOSS,24.0,LOSS,98.0,WIN,33.0,LOSS,136.0,LOSS,222.0,LOSS,69.0,WIN,Team(Dallas Sem Mavericks),5,2,0,874.0,WIN,35.0,WIN,78.0,LOSS,47.0,WIN,212.0,WIN,294.0,WIN,99.0,LOSS,AWAY
60,783b4d2e8219c8098b3bbc21c050f5c92a16b3c9906cd21b0723b915e3a70bb3,13,Box Score(Team(FlaLakers) at Team(Pestana's)),Team(Pestana's),1,6,0,714.0,LOSS,19.0,LOSS,73.0,LOSS,32.0,LOSS,164.0,WIN,232.0,LOSS,89.0,LOSS,Team(FlaLakers),6,1,0,808.0,WIN,37.0,WIN,82.0,WIN,52.0,WIN,156.0,LOSS,272.0,WIN,76.0,WIN,AWAY
61,cb3be215107dfd76f712fa99b53307014f041d70c11e66e6504bac6fef93b58a,13,Box Score(Team(Red Devils) at Team(Botafogo Trentini)),Team(Botafogo Trentini),3,4,0,793.0,LOSS,27.0,LOSS,70.0,LOSS,60.0,WIN,233.0,WIN,309.0,WIN,115.0,LOSS,Team(Red Devils),4,3,0,865.0,WIN,36.0,WIN,94.0,WIN,46.0,LOSS,147.0,LOSS,259.0,LOSS,76.0,WIN,AWAY
62,1685e3dcd9b9429f8535897f831a56a89ddda126545c5d6c0f6be5809b8bad1e,13,Box Score(Team(Team Squirtle) at Team(Dallas Sem Mavericks)),Team(Dallas Sem Mavericks),5,2,0,603.0,WIN,28.0,WIN,46.0,LOSS,37.0,WIN,146.0,WIN,250.0,WIN,81.0,LOSS,Team(Team Squirtle),2,5,0,460.0,LOSS,15.0,LOSS,65.0,WIN,28.0,LOSS,92.0,LOSS,110.0,LOSS,51.0,WIN,HOME
63,b73f411d1d47c957b0a6be34e7287b9de00bd7d41edd04eeca0cdc42daba1fb0,13,Box Score(Team(Porto Alegre Sacis) at Team(Jamallers)),Team(Jamallers),1,6,0,253.0,LOSS,9.0,LOSS,22.0,LOSS,24.0,LOSS,104.0,LOSS,122.0,LOSS,41.0,WIN,Team(Porto Alegre Sacis),6,1,0,693.0,WIN,37.0,WIN,99.0,WIN,40.0,WIN,132.0,WIN,251.0,WIN,69.0,LOSS,AWAY
64,977bc8b1f2af1b4b222d62fed76d3f5dc8efbc5e9bbd2bf211751d73020ea911,13,Box Score(Team(Spartans) at Team(Miami Raters)),Team(Miami Raters),4,3,0,721.0,WIN,19.0,WIN,78.0,WIN,39.0,LOSS,159.0,LOSS,258.0,WIN,78.0,LOSS,Team(Spartans),3,4,0,487.0,LOSS,18.0,LOSS,49.0,LOSS,41.0,WIN,160.0,WIN,156.0,LOSS,63.0,WIN,HOME
65,ec13e6418a93a06042befcf196b8c1cc741e3537eadb858a4b94a180a4eb11bb,14,Box Score(Team(Porto Alegre Sacis) at Team(Dallas Sem Mavericks)),Team(Dallas Sem Mavericks),4,3,0,679.0,WIN,26.0,LOSS,71.0,LOSS,46.0,WIN,163.0,WIN,267.0,WIN,94.0,LOSS,Team(Porto Alegre Sacis),3,4,0,654.0,LOSS,38.0,WIN,83.0,WIN,36.0,LOSS,133.0,LOSS,235.0,LOSS,65.0,WIN,HOME
66,adf8706837578bd4b9ad6c9b8c6df630c95500658d70416bcdc91a82681ae3ce,14,Box Score(Team(Jamallers) at Team(Miami Raters)),Team(Miami Raters),6,1,0,586.0,WIN,25.0,WIN,77.0,WIN,39.0,WIN,128.0,WIN,171.0,WIN,61.0,LOSS,Team(Jamallers),1,6,0,407.0,LOSS,10.0,LOSS,37.0,LOSS,20.0,LOSS,121.0,LOSS,138.0,LOSS,48.0,WIN,HOME
67,bf4d27cde9ea329627a7a8ca3044cdb80d2aa6e0f16554d07155e3b362c5f486,14,Box Score(Team(Botafogo Trentini) at Team(Spartans)),Team(Spartans),1,6,0,579.0,LOSS,14.0,LOSS,53.0,LOSS,33.0,LOSS,143.0,LOSS,162.0,LOSS,63.0,WIN,Team(Botafogo Trentini),6,1,0,838.0,WIN,20.0,WIN,61.0,WIN,47.0,WIN,275.0,WIN,322.0,WIN,122.0,LOSS,AWAY
68,18613d22e74465562e192c73b3c152282d071db9ba32d2ddb9c0a43968175ca7,14,Box Score(Team(Pestana's) at Team(Team Squirtle)),Team(Team Squirtle),1,6,0,276.0,LOSS,15.0,LOSS,39.0,LOSS,12.0,LOSS,68.0,LOSS,112.0,LOSS,31.0,WIN,Team(Pestana's),6,1,0,601.0,WIN,29.0,WIN,54.0,WIN,30.0,WIN,131.0,WIN,205.0,WIN,76.0,LOSS,AWAY
69,19976ba02ea22d21b898765f804deca486c98579dbee0b2f5cc1ce123e6a8dbb,14,Box Score(Team(Red Devils) at Team(FlaLakers)),Team(FlaLakers),5,2,0,718.0,WIN,33.0,WIN,57.0,LOSS,62.0,WIN,154.0,WIN,286.0,WIN,79.0,LOSS,Team(Red Devils),2,5,0,654.0,LOSS,30.0,LOSS,58.0,WIN,25.0,LOSS,134.0,LOSS,206.0,LOSS,69.0,WIN,HOME
70,0e7df5d3cdd16d2ffa00b5c0e2b4ea855f77b2716c3768e74ae4174e39f82af8,15,Box Score(Team(Dallas Sem Mavericks) at Team(Jamallers)),Team(Jamallers),1,6,0,438.0,LOSS,8.0,LOSS,42.0,LOSS,19.0,LOSS,113.0,LOSS,138.0,LOSS,45.0,WIN,Team(Dallas Sem Mavericks),6,1,0,670.0,WIN,37.0,WIN,44.0,WIN,29.0,WIN,184.0,WIN,323.0,WIN,84.0,LOSS,AWAY
71,08f13bf014f5e9ed0e97155db7d47e3ef59b640d1fc4c4a784b4f72c9bd98f6b,15,Box Score(Team(Miami Raters) at Team(Botafogo Trentini)),Team(Botafogo Trentini),3,4,0,748.0,LOSS,14.0,LOSS,44.0,LOSS,37.0,LOSS,238.0,WIN,307.0,WIN,85.0,WIN,Team(Miami Raters),4,3,0,799.0,WIN,29.0,WIN,101.0,WIN,38.0,WIN,206.0,LOSS,244.0,LOSS,95.0,LOSS,AWAY
72,a82d2ea6396f5dbad86dce6cddfa65f235a65b5fa565fa8357a2d50f313c1501,15,Box Score(Team(Spartans) at Team(Pestana's)),Team(Pestana's),5,2,0,819.0,WIN,28.0,WIN,69.0,LOSS,44.0,WIN,177.0,WIN,253.0,WIN,79.0,LOSS,Team(Spartans),2,5,0,542.0,LOSS,18.0,LOSS,71.0,WIN,28.0,LOSS,150.0,LOSS,160.0,LOSS,64.0,WIN,HOME
73,5a713f4eb0e66f06d8b83b74d2534d960669e28c66d457bac5ff00d287cc2ac9,15,Box Score(Team(Team Squirtle) at Team(Red Devils)),Team(Red Devils),6,1,0,770.0,WIN,39.0,WIN,78.0,WIN,27.0,WIN,150.0,WIN,230.0,WIN,76.0,LOSS,Team(Team Squirtle),1,6,0,391.0,LOSS,20.0,LOSS,48.0,LOSS,18.0,LOSS,87.0,LOSS,132.0,LOSS,43.0,WIN,HOME
74,b8de57a5542c97cff9ccf41d16ad54583f35978481f687558fc982c1dd4afd42,15,Box Score(Team(FlaLakers) at Team(Porto Alegre Sacis)),Team(Porto Alegre Sacis),3,4,0,554.0,LOSS,24.0,LOSS,75.0,WIN,31.0,LOSS,140.0,WIN,163.0,LOSS,56.0,WIN,Team(FlaLakers),4,3,0,698.0,WIN,25.0,WIN,68.0,LOSS,44.0,WIN,133.0,LOSS,280.0,WIN,80.0,LOSS,AWAY
75,e68266aae93d8a7b2ba0da0062dc2f9dd74e99bc038ae367b8a134724401e2f8,16,Box Score(Team(Botafogo Trentini) at Team(Dallas Sem Mavericks)),Team(Dallas Sem Mavericks),2,4,1,100.0,LOSS,5.0,LOSS,10.0,WIN,9.0,TIE,31.0,LOSS,31.0,LOSS,14.0,WIN,Team(Botafogo Trentini),4,2,1,153.0,WIN,6.0,WIN,6.0,LOSS,9.0,TIE,52.0,WIN,68.0,WIN,20.0,LOSS,UNDECIDED
76,53ad1259e76e09a103d30c718cd1eac487ddea201237a5f07dcfefb7b283762d,16,Box Score(Team(Pestana's) at Team(Miami Raters)),Team(Miami Raters),4,3,0,112.0,LOSS,5.0,WIN,17.0,WIN,8.0,WIN,29.0,WIN,26.0,LOSS,15.0,LOSS,Team(Pestana's),3,4,0,158.0,WIN,4.0,LOSS,15.0,LOSS,1.0,LOSS,23.0,LOSS,29.0,WIN,8.0,WIN,UNDECIDED
77,a2ccf5ef8afe5b89d1b19bff9012dc1a19c83e13d40845d60f605cdedbe291de,16,Box Score(Team(Red Devils) at Team(Spartans)),Team(Spartans),1,6,0,47.0,LOSS,0.0,LOSS,5.0,LOSS,3.0,LOSS,12.0,LOSS,12.0,LOSS,6.0,WIN,Team(Red Devils),6,1,0,256.0,WIN,8.0,WIN,16.0,WIN,8.0,WIN,50.0,WIN,63.0,WIN,16.0,LOSS,UNDECIDED
78,ea57fc1235fc8478b47de51eedba6e7b221e4a1cd7f3506b93700b0de673b0cc,16,Box Score(Team(Porto Alegre Sacis) at Team(Team Squirtle)),Team(Team Squirtle),1,6,0,46.0,LOSS,0.0,LOSS,4.0,LOSS,3.0,LOSS,10.0,LOSS,10.0,LOSS,3.0,WIN,Team(Porto Alegre Sacis),6,1,0,113.0,WIN,5.0,WIN,16.0,WIN,8.0,WIN,17.0,WIN,35.0,WIN,10.0,LOSS,UNDECIDED
79,e6211cacdf69442ad421082c68caf6f360473eb9254f8f9cd850df3b4e40ae27,16,Box Score(Team(Jamallers) at Team(FlaLakers)),Team(FlaLakers),6,1,0,165.0,WIN,12.0,WIN,13.0,WIN,8.0,WIN,23.0,WIN,57.0,WIN,21.0,LOSS,Team(Jamallers),1,6,0,74.0,LOSS,2.0,LOSS,5.0,LOSS,4.0,LOSS,22.0,LOSS,26.0,LOSS,7.0,WIN,UNDECIDED
